ix;id;sci;de;en;minConfidence
153;PhyCan0;Phylloscopus canariensis;Kanarenzilpzalp;Canary Islands Chiffchaff;
154;HimHim0;Himantopus himantopus;Stelzenläufer;Black-winged Stilt;
155;RecAvo0;Recurvirostra avosetta;Säbelschnäbler;Pied Avocet;
156;PerPer0;Perdix perdix;Rebhuhn;Grey Partridge;
157;BraLeu0;Branta leucopsis;Weißwangengans;Barnacle Goose;
158;AleRuf0;Alectoris rufa;Rothuhn;Red-legged Partridge;
159;OenOen0;Oenanthe oenanthe;Steinschmätzer;Northern Wheatear;
160;PanBia0;Panurus biarmicus;Bartmeise;Bearded Reedling;
161;PodCri0;Podiceps cristatus;Haubentaucher;Great Crested Grebe;
162;AccGen0;Accipiter gentilis;Habicht;Northern Goshawk;
163;AnaPen0;Anas penelope;Pfeifente;Eurasian Wigeon;
164;LoxPyt0;Loxia pytyopsittacus;Kiefernkreuzschnabel;Parrot Crossbill;
165;AntPet0;Anthus petrosus;Strandpieper;Eurasian Rock Pipit;
166;AntSpi0;Anthus spinoletta;Bergpieper;Water Pipit;
167;LarMic0;Larus michahellis;Mittelmeermöwe;Yellow-legged Gull;
168;RipRip0;Riparia riparia;Uferschwalbe;Sand Martin;
169;PodGri0;Podiceps grisegena;Rothalstaucher;Red-necked Grebe;
170;AntCam0;Anthus campestris;Brachpieper;Tawny Pipit;
171;LoxLeu0;Loxia leucoptera;Bindenkreuzschnabel;Two-barred Crossbill;
172;ChlHyb0;Chlidonias hybrida;Weißbart-Seeschwalbe;Whiskered Tern;
173;FalTin0;Falco tinnunculus;Turmfalke;Common Kestrel;
174;EmbCia0;Emberiza cia;Zippammer;Rock Bunting;
175;CalLap0;Calcarius lapponicus;Spornammer;Lapland Longspur;
176;AntCer0;Anthus cervinus;Rotkehlpieper;Red-throated Pipit;
177;TadTad0;Tadorna tadorna;Brandgans;Common Shelduck;
178;CirAer0;Circus aeruginosus;Rohrweihe;Western Marsh Harrier;
179;TetBon0;Tetrastes bonasia;Haselhuhn;Hazel Grouse;
180;BucCla0;Bucephala clangula;Schellente;Common Goldeneye;
181;TriEry0;Tringa erythropus;Dunkler Wasserläufer;Spotted Redshank;
182;PhaCar0;Phalacrocorax carbo;Kormoran;Great Cormorant;
183;EmbRus0;Emberiza rustica;Waldammer;Rustic Bunting;
184;ChaHia0;Charadrius hiaticula;Sandregenpfeifer;Common Ringed Plover;
185;TytAlb0;Tyto alba;Schleiereule;Western Barn Owl;
186;IxoMin0;Ixobrychus minutus;Zwergdommel;Little Bittern;
187;ColOen0;Columba oenas;Hohltaube;Stock Dove;
188;LanExc0;Lanius excubitor;Raubwürger;Great Grey Shrike;
189;AytFul0;Aythya fuligula;Reiherente;Tufted Duck;
190;PasHis0;Passer hispaniolensis;Weidensperling;Spanish Sparrow;
191;LyrTet0;Lyrurus tetrix;Birkhuhn;Black Grouse;
192;FalSub0;Falco subbuteo;Baumfalke;Eurasian Hobby;
193;NumPha0;Numenius phaeopus;Regenbrachvogel;Whimbrel;
